F??Fw,7,6,6,6.000000000157682,1.5768186756304203e-10,True,6,0.0004908490227535367,solved,5.2867432696115145e-12
F?AFo,7,6,5,4.999999996390429,-3.609571308516024e-09,True,5,0.0010491939901839942,solved,3.1137341036644765e-11
F?AFw,7,7,5,5.0000000012205605,1.2205605415260834e-09,True,5,0.0007242959982249886,solved,1.0370990774223099e-10
F?B@w,7,6,5,4.9999999890303135,-1.0969686492501296e-08,True,5,0.0012680520012509078,solved,1.2383427616668996e-12
F?BDo,7,6,5,5.000000012586617,1.2586617081922213e-08,True,5,0.0010180730023421347,solved,6.023475444882429e-10
F?BDw,7,7,5,5.000000009286839,9.286838853483914e-09,True,5,0.0010261090064886957,solved,3.5779904653881705e-10
F?BFo,7,7,5,5.000000001961709,1.96170901745063e-09,True,5,0.0012314600171521306,solved,1.7760216118848208e-10
F?BFw,7,8,5,4.999999992833102,-7.1668981860284475e-09,True,5,0.0008170429791789502,solved,4.5441351952500984e-10
F?Bco,7,6,5,5.000000039821129,3.982112861677933e-08,True,5,0.0015941379824653268,solved,2.3997242184796563e-09
F?Bcw,7,7,5,5.000000017808014,1.780801373030272e-08,True,5,0.0020112079801037908,solved,1.3223684318961712e-09
F?Beo,7,7,5,5.000000013491501,1.3491501249518478e-08,True,5,0.0017120470001827925,solved,1.0875414725123104e-09
F?Bew,7,8,5,4.999999994165132,-5.83486770011632e-09,True,5,0.0016428009839728475,solved,1.3463065436492637e-10
F?Bfo,7,8,5,5.000000019874542,1.987454201213268e-08,True,5,0.0019038460159208626,solved,1.4681861474095282e-08
F?Bfw,7,9,5,4.99999999454628,-5.453720142156726e-09,True,5,0.0014838429924566299,solved,1.0231189628591527e-10
F?BvO,7,8,5,5.0000000059125265,5.91252646842122e-09,True,5,0.002224274998297915,solved,2.166223103569325e-09
F?BvW,7,9,5,5.000000041735208,4.1735208178295125e-08,True,5,0.0012244489917065948,solved,3.648131504236444e-09
F?Bvo,7,9,5,4.999999993676954,-6.3230460867202964e-09,True,5,0.001141548011219129,solved,1.742165788525856e-10
F?Bvw,7,10,5,5.000000003472968,3.4729676912093055e-09,True,5,0.000845835980726406,solved,1.379157518972037e-10
F?B~o,7,10,5,4.999999997901659,-2.0983410564667793e-09,True,5,0.0002658860175870359,solved,9.326159489402892e-11
F?B~w,7,11,5,4.999999988266091,-1.1733908955591232e-08,True,5,0.00016222201520577073,solved,1.6101503661179062e-10
F?`F_,7,6,4,4.0000000014259305,1.4259304847996646e-09,True,4,0.0013436700101010501,solved,9.591862317844174e-11
F?`Fo,7,7,4,4.000000003633838,3.633838119299071e-09,True,4,0.0016215429932344705,solved,7.903625532024322e-10
F?`Fw,7,8,4,3.999999990124181,-9.875818829385707e-09,True,4,0.0006106270011514425,solved,4.884981308350689e-15
F?`cg,7,6,4,3.9999999981207774,-1.87922255534545e-09,True,4,0.001338914007646963,solved,1.100925436482727e-09
F?`cw,7,7,4,3.9999999993131894,-6.868106083857128e-10,True,4,0.0011578930134419352,solved,1.6771123997792e-10
